Region,Place,Area/Locality,PIN Code,Region_Latitude,Region_Longitude,Region_location_key,Unique_Latitude,Unique_Longitude,Unique_location_key,Match_Distance,Match_Distance_km,Match_Quality,location_id,location,location_aq,region,traffic_density_score,industrial_proximity,industrial_density_score,exposure_index,exposure_category,near_industrial_1km,near_industrial_3km,near_industrial_5km,horizon
Central Delhi,Connaught Place (Rajiv Chowk),Connaught Place,110001,28.632,77.217,28.632_77.217,28.633,77.217,28.633_77.217,0.001,0.11,GOOD,28.633_77.217,"CAT EXTENSION COUNTER, DELHI, 110001","CAT EXTENSION COUNTER, DELHI, 110001",Delhi NCR,0.9468378994159106,5.593181408225343,0.2738817794726024,0.4301980790093723,Moderate,0,0,0,1h
Central Delhi,India Gate,Kartavya Path / India Gate Hexagon,110001,28.613,77.23,28.613_77.23,28.617,77.23,28.617_77.23,0.004,0.44,GOOD,28.617_77.23,"Baroda House SO, DELHI, 110001","Baroda House SO, DELHI, 110001",Delhi NCR,0.5044408237327772,5.20280489034554,0.27404394672244,0.2773087525001815,Low,0,0,0,1h
Central Delhi,Jantar Mantar (Delhi),Parliament Street / Sansad Marg,110001,28.627,77.217,28.627_77.217,28.628,77.219,28.628_77.219,0.002236,0.25,GOOD,28.628_77.219,"Janpath SO, DELHI, 110001","Janpath SO, DELHI, 110001",Delhi NCR,0.8171225759047158,6.153173488260097,0.2696796705052882,0.3813724374418858,Moderate,0,0,0,1h
Central Delhi,"National Museum, New Delhi",Janpath,110011,28.612,77.219,28.612_77.219,28.611,77.215,28.611_77.215,0.004123,0.46,GOOD,28.611_77.215,"Nirman Bhawan SO, DELHI, 110011","Nirman Bhawan SO, DELHI, 110011",Delhi NCR,0.5653483566410304,6.697121447161616,0.251377179673742,0.2866999594269026,Low,0,0,0,1h
Central Delhi,Rashtrapati Bhavan,Raisina Hill,110004,28.614,77.2,28.614_77.2,28.618,77.2,28.618_77.2,0.004,0.44,GOOD,28.618_77.2,"North Avenue SO, DELHI, 110001","North Avenue SO, DELHI, 110001",Delhi NCR,0.5766510790594781,7.441646096878166,0.2554258674348723,0.2893764062085914,Low,0,0,0,1h
East Delhi,Akshardham Temple (Swaminarayan),Pandav Nagar / NH-24,110092,28.613,77.277,28.613_77.277,28.628,77.278,28.628_77.278,0.015033,1.67,DISTANT,28.628_77.278,"Laxmi Nagar Extension SO, DELHI, 110092","Laxmi Nagar Extension SO, DELHI, 110092",Delhi NCR,0.4802515729768742,1.3588278409598444,0.4497406149444733,0.4653110792246829,Moderate,0,1,1,1h
East Delhi,Pacific Mall (Anand Vihar),Kaushambi / Anand Vihar border,110092,28.646,77.318,28.646_77.318,28.639,77.321,28.639_77.321,0.007616,0.85,ACCEPTABLE,28.639_77.321,"Hasanpur Bhowapur , UTTAR PRADESH, 201010","Hasanpur Bhowapur , UTTAR PRADESH, 201010",Delhi NCR,0.2962857373488833,4.290720907262704,0.3904797583746919,0.2691219794693223,Low,0,0,1,1h
East Delhi,Sanatan Dharm Mandir (Shahdara),Shahdara,110032,28.673,77.289,28.673_77.289,28.672,77.291,28.672_77.291,0.002236,0.25,GOOD,28.672_77.291,"Telewara SO, DELHI, 110032","Telewara SO, DELHI, 110032",Delhi NCR,0.2331119867166501,6.19482029329954,0.2640764899776461,0.1754060934458691,Low,0,0,0,1h
East Delhi,Shahdara Old Market,Shahdara,110032,28.674,77.285,28.674_77.285,28.674,77.287,28.674_77.287,0.002,0.22,GOOD,28.674_77.287,"Shahdara Mandi SO, DELHI, 110032","Shahdara Mandi SO, DELHI, 110032",Delhi NCR,0.2416051350042932,6.381691687665088,0.2605319555540861,0.1767888464804476,Low,0,0,0,1h
East Delhi,Yamuna Sports Complex,Surajmal Vihar,110092,28.65,77.31,28.65_77.31,28.653,77.308,28.653_77.308,0.003606,0.4,GOOD,28.653_77.308,"Anand Vihar SO, DELHI, 110092","Anand Vihar SO, DELHI, 110092",Delhi NCR,0.256975471529776,4.701413421793904,0.3184068469794476,0.2346221475780897,Low,0,0,1,1h
