Region,Place,Area/Locality,PIN Code,Latitude,Longitude
Unknown,"Anand Vihar SO, DELHI, 110092","Anand Vihar SO, DELHI, 110092",,28.6127,77.2773
West,"Arya Samaj Marg, DELHI, 110058","Arya Samaj Marg, DELHI, 110058",110058.0,28.6266,77.1167
Central,"Bahadur Shah Zafar Marg, DELHI, 110002","Bahadur Shah Zafar Marg, DELHI, 110002",110002.0,28.5626,77.2686
Unknown,"Baroda House SO, DELHI, 110001","Baroda House SO, DELHI, 110001",,28.6507,77.2334
West,"Bazar Road, DELHI, 110059","Bazar Road, DELHI, 110059",110059.0,28.6266,77.1167
Unknown,"CAT EXTENSION COUNTER, DELHI, 110001","CAT EXTENSION COUNTER, DELHI, 110001",,28.6315,77.2167
Unknown,"Chattarpur SO, DELHI, 110074","Chattarpur SO, DELHI, 110074",,28.4975,77.1736
South,"Chattarpur, DELHI, 110030","Chattarpur, DELHI, 110030",110030.0,28.4975,77.1736
South,"Chattarpur, DELHI, 110074","Chattarpur, DELHI, 110074",110074.0,28.4975,77.1736
Central,"Chawri Bazar, DELHI, 110006","Chawri Bazar, DELHI, 110006",110006.0,28.6141527,77.1959622
West,"Church Road, DELHI, 110059","Church Road, DELHI, 110059",110059.0,28.6456877,77.1200206
West,"Dada Ghosh Bhawan, DELHI, 110008","Dada Ghosh Bhawan, DELHI, 110008",110008.0,28.64607186,77.20229251
Unknown,"Dareeba SO, DELHI, 110006","Dareeba SO, DELHI, 110006",,28.6562,77.241
Central,"Darya Ganj, DELHI, 110002","Darya Ganj, DELHI, 110002",110002.0,28.6141527,77.1959622
Central,"Dehli, DELHI, 110006","Dehli, DELHI, 110006",110006.0,28.6141527,77.1959622
North West,"Delhi, DELHI, 110009","Delhi, DELHI, 110009",110009.0,28.64607186,77.20229251
South,"Delhi, DELHI, 110016","Delhi, DELHI, 110016",110016.0,28.6507,77.2334
West,"Delhi, DELHI, 110059","Delhi, DELHI, 110059",110059.0,28.6456877,77.1200206
North West,"Delhi, DELHI, 110085","Delhi, DELHI, 110085",110085.0,28.6266,77.1167
Shahdara,"Delhi, DELHI, 110092","Delhi, DELHI, 110092",110092.0,28.6507,77.2334
Shahdara,"Gali No 7, DELHI, 110032","Gali No 7, DELHI, 110032",110032.0,28.6507,77.2334
Unknown,"Gandhi Smarak Nidhi SO, DELHI, 110002","Gandhi Smarak Nidhi SO, DELHI, 110002",,28.6655,77.2309
East,"Ghazipur, DELHI, 110092","Ghazipur, DELHI, 110092",110092.0,28.6127,77.2773
New Delhi,"Golden Quadrilateral, DELHI, 110001","Golden Quadrilateral, DELHI, 110001",110001.0,28.5535,77.2588
South,"Gulmohar Park, DELHI, 110049","Gulmohar Park, DELHI, 110049",110049.0,28.4975,77.1736
West,"Hari Nagar, DELHI, 110064","Hari Nagar, DELHI, 110064",110064.0,28.6141527,77.1959622
Unknown,"Hasanpur Bhowapur , UTTAR PRADESH, 201010","Hasanpur Bhowapur , UTTAR PRADESH, 201010",,28.673,77.289
South,"Hauz, DELHI, 110016","Hauz, DELHI, 110016",110016.0,28.6141527,77.1959622
Unknown,"Hazrat Nizamuddin SO, DELHI, 110013","Hazrat Nizamuddin SO, DELHI, 110013",,28.5933,77.2507
West,"I.A.R.I., DELHI, 110012","I.A.R.I., DELHI, 110012",110012.0,28.6119,77.2194
Unknown,"IT Hauz Khas SO, DELHI, 110016","IT Hauz Khas SO, DELHI, 110016",,28.5537,77.192
Unknown,"Indraprastha , DELHI, 110002","Indraprastha , DELHI, 110002",,28.655,77.2303
West,"Janakpuri C-4, DELHI, 110058","Janakpuri C-4, DELHI, 110058",110058.0,28.6266,77.1167
Unknown,"Janpath SO, DELHI, 110001","Janpath SO, DELHI, 110001",,28.6271,77.2167
North West,"Jharoda Majraa, DELHI, 110009","Jharoda Majraa, DELHI, 110009",110009.0,28.64607186,77.20229251
Central,"Lajpatrai Street, DELHI, 110002","Lajpatrai Street, DELHI, 110002",110002.0,28.6275609,77.2784081
Unknown,"Laxmi Nagar Extension SO, DELHI, 110092","Laxmi Nagar Extension SO, DELHI, 110092",,28.64,77.2497
New Delhi,"Maulana Azad Road, DELHI, 110011","Maulana Azad Road, DELHI, 110011",110011.0,28.6141527,77.1959622
Unknown,"Maya Puri S.O, DELHI, 110064","Maya Puri S.O, DELHI, 110064",,28.6467,77.2037
East,"Mother Dairy Main Road, DELHI, 110092","Mother Dairy Main Road, DELHI, 110092",110092.0,28.5626,77.2686
South East,"NH-2, DELHI, 110013","NH-2, DELHI, 110013",110013.0,28.6141527,77.1959622
West,"Najafgarh Road, DELHI, 110015","Najafgarh Road, DELHI, 110015",110015.0,28.6141527,77.1959622
South East,"Nehru Place Metro Station Road, DELHI, 110019","Nehru Place Metro Station Road, DELHI, 110019",110019.0,28.4975,77.1736
South East,"New Delhi, DELHI, 110014","New Delhi, DELHI, 110014",110014.0,28.4975,77.1736
South East,"New Delhi, DELHI, 110025","New Delhi, DELHI, 110025",110025.0,28.6376914,77.2461082
South West,"New Delhi, DELHI, 110037","New Delhi, DELHI, 110037",110037.0,28.4975,77.1736
Unknown,"New Friends Colony SO, DELHI, 110025","New Friends Colony SO, DELHI, 110025",,28.5626,77.2686
Unknown,"Nirman Bhawan SO, DELHI, 110011","Nirman Bhawan SO, DELHI, 110011",,28.6119,77.2194
South,"No 1 Gali, DELHI, 110029","No 1 Gali, DELHI, 110029",110029.0,28.6275609,77.2784081
West,"No 18 Gali, DELHI, 110058","No 18 Gali, DELHI, 110058",110058.0,28.6278172,77.2189594
Central,"No 19 Gali, DELHI, 110005","No 19 Gali, DELHI, 110005",110005.0,28.6141527,77.1959622
Central,"No 7 Gali, DELHI, 110005","No 7 Gali, DELHI, 110005",110005.0,28.6141527,77.1959622
East,"No 72 Road, DELHI, 110092","No 72 Road, DELHI, 110092",110092.0,28.6127,77.2773
Gautam Buddha Nagar,"Noida, UTTAR PRADESH, 201301","Noida, UTTAR PRADESH, 201301",201301.0,28.5626,77.2686
Ghaziabad,"Pasonda, UTTAR PRADESH, 201005","Pasonda, UTTAR PRADESH, 201005",201005.0,28.6737274,77.2867086
South West,"Pinto Park, DELHI, 110010","Pinto Park, DELHI, 110010",110010.0,28.6456877,77.1200206
South West,"Raj Nagar - II, DELHI, 110077","Raj Nagar - II, DELHI, 110077",110077.0,28.5285215,77.1897841
New Delhi,"Rajiv Chowk, DELHI, 110001","Rajiv Chowk, DELHI, 110001",110001.0,28.6141527,77.1959622
Unknown,"Rajouri Market S.O, DELHI, 110027","Rajouri Market S.O, DELHI, 110027",,28.6266,77.1167
Central,"Raman Lamba Marg, DELHI, 110060","Raman Lamba Marg, DELHI, 110060",110060.0,28.64607186,77.20229251
North West,"Rohini Sector 15, DELHI, 110089","Rohini Sector 15, DELHI, 110089",110089.0,28.6456877,77.1200206
Central,"S.T. Road, DELHI, 110006","S.T. Road, DELHI, 110006",110006.0,28.6141527,77.1959622
Unknown,"SRT NAGAR EXTENSION COUNTER, DELHI, 110055","SRT NAGAR EXTENSION COUNTER, DELHI, 110055",,28.6737,77.2848
New Delhi,"Safdarjung Air Port, DELHI, 110003","Safdarjung Air Port, DELHI, 110003",110003.0,28.6507,77.2334
South,"Saket, DELHI, 110017","Saket, DELHI, 110017",110017.0,28.49704377,77.17854904
Unknown,"Sant Nagar SO South Delhi, DELHI, 110065","Sant Nagar SO South Delhi, DELHI, 110065",,28.5535,77.2588
South East,"Sant Nagar, DELHI, 110065","Sant Nagar, DELHI, 110065",110065.0,28.4975,77.1736
Gautam Buddha Nagar,"Sarfabad, UTTAR PRADESH, 201301","Sarfabad, UTTAR PRADESH, 201301",201301.0,28.673,77.289
New Delhi,"Secretariat North, DELHI, 110011","Secretariat North, DELHI, 110011",110011.0,28.5244,77.1855
Unknown,"Shahdara Mandi SO, DELHI, 110032","Shahdara Mandi SO, DELHI, 110032",,28.646,77.318
New Delhi,"Shankar Road, DELHI, 110004","Shankar Road, DELHI, 110004",110004.0,28.6141527,77.1959622
South East,"Shree Ram Marg, DELHI, 110076","Shree Ram Marg, DELHI, 110076",110076.0,28.5674621,77.2691326
West,"Subhash Nagar, DELHI, 110027","Subhash Nagar, DELHI, 110027",110027.0,28.6266,77.1167
South East,"Sukhdev Vihar, DELHI, 110025","Sukhdev Vihar, DELHI, 110025",110025.0,28.6507,77.2334
North West,"Sultanpuri B Block, DELHI, 110086","Sultanpuri B Block, DELHI, 110086",110086.0,28.6266,77.1167
Ghaziabad,"Surya Nagar Main Road, UTTAR PRADESH, 201011","Surya Nagar Main Road, UTTAR PRADESH, 201011",201011.0,28.6562814,77.2321071
Unknown,"T B Hospital SO, DELHI, 110030","T B Hospital SO, DELHI, 110030",,28.5244,77.1855
Unknown,"Telewara SO, DELHI, 110032","Telewara SO, DELHI, 110032",,28.6505,77.3095
New Delhi,"Upsc Lane, DELHI, 110011","Upsc Lane, DELHI, 110011",110011.0,28.6141527,77.1959622
Ghaziabad,"Vaishali, UTTAR PRADESH, 201019","Vaishali, UTTAR PRADESH, 201019",201019.0,28.6618126,77.2355355
South West,"Vasant Kunj Pkt-A, DELHI, 110045","Vasant Kunj Pkt-A, DELHI, 110045",110045.0,28.6266,77.1167
West,"Vikaspuri Road, DELHI, 110018","Vikaspuri Road, DELHI, 110018",110018.0,28.6230738,77.1207739
